2020,12,Estados Unidos,Plásticos e suas obras,Santa Catarina,MARITIMA,33603276
2020,1,China,"Ferro fundido, ferro e aço",Santa Catarina,MARITIMA,33206719
2020,1,China,Filamentos sintéticos ou artificiais,Santa Catarina,MARITIMA,33086487
2020,10,China,Filamentos sintéticos ou artificiais,Santa Catarina,MARITIMA,32568191
2020,11,Estados Unidos,Plásticos e suas obras,Santa Catarina,MARITIMA,32124953
2020,12,China,"Ferro fundido, ferro e aço",Santa Catarina,MARITIMA,30451478
2020,8,China,"Ferro fundido, ferro e aço",Santa Catarina,MARITIMA,30152347
2020,10,China,Plásticos e suas obras,Santa Catarina,MARITIMA,29732741
2020,3,China,"Vestuário e seus acessórios, de malha",Santa Catarina,MARITIMA,28874157
2020,11,China,"Ferro fundido, ferro e aço",Santa Catarina,MARITIMA,27779616
2020,12,China,"Fibras sintéticas ou artificiais, descontínuas",Santa Catarina,MARITIMA,27537148
2020,11,China,Produtos químicos orgânicos,Santa Catarina,MARITIMA,27472707
2020,11,Colômbia,Plásticos e suas obras,Santa Catarina,MARITIMA,26957160
2020,7,China,"Ferro fundido, ferro e aço",Santa Catarina,MARITIMA,26807666
2020,5,China,Produtos químicos orgânicos,Santa Catarina,MARITIMA,26687521
2020,12,China,"Móveis; mobiliário médico-cirúrgico, colchões, almofadas e semelhantes; aparelhos de iluminação não especificados nem compreendidos em outros capítulos; anúncios, cartazes ou tabuletas e placas indicadoras luminosos, e artigos semelhantes; Construções Pré",Santa Catarina,MARITIMA,26647085
2020,11,China,"Móveis; mobiliário médico-cirúrgico, colchões, almofadas e semelhantes; aparelhos de iluminação não especificados nem compreendidos em outros capítulos; anúncios, cartazes ou tabuletas e placas indicadoras luminosos, e artigos semelhantes; Construções Pré",Santa Catarina,MARITIMA,26089996
2020,3,China,"Vestuário e seus acessórios, exceto de Malha",Santa Catarina,MARITIMA,25711274
2020,2,China,Filamentos sintéticos ou artificiais,Santa Catarina,MARITIMA,25601179
2020,2,Irã,Adubos (fertilizantes),Santa Catarina,MARITIMA,25540415
2020,1,China,Plásticos e suas obras,Santa Catarina,MARITIMA,25128989
2020,12,Malásia,Borracha e suas obras,Santa Catarina,MARITIMA,25117765
2020,12,China,Produtos químicos orgânicos,Santa Catarina,MARITIMA,24991943
2020,3,China,"Ferro fundido, ferro e aço",Santa Catarina,MARITIMA,24968944
2020,5,China,"Ferro fundido, ferro e aço",Santa Catarina,MARITIMA,24855008
2020,9,China,Plásticos e suas obras,Santa Catarina,MARITIMA,24631199
2020,7,Malásia,Borracha e suas obras,Santa Catarina,MARITIMA,24586763
2020,7,Chile,Cobre e suas obras,Santa Catarina,MARITIMA,24254489
2020,6,Chile,Cobre e suas obras,Santa Catarina,MARITIMA,24201671
2020,9,China,Filamentos sintéticos ou artificiais,Santa Catarina,MARITIMA,24181710
2020,1,China,Produtos químicos orgânicos,Santa Catarina,MARITIMA,23905586
2020,1,China,"Fibras sintéticas ou artificiais, descontínuas",Santa Catarina,MARITIMA,23492903
2020,2,China,Plásticos e suas obras,Santa Catarina,MARITIMA,23485060
2020,10,China,"Fibras sintéticas ou artificiais, descontínuas",Santa Catarina,MARITIMA,23252924
