Mês,País Importado,Produto,Via,FOB (US$)
7,Uruguai,"Veículos automóveis, tratores, ciclos e outros veículos terrestres, suas partes e acessórios",RODOVIARIA,1216678
1,África do Sul,Alumínio e suas obras,MARITIMA,1214045
10,Turquia,Frutas; cascas de frutos cítricos e de melões,MARITIMA,1214010
12,Rússia,"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios",MARITIMA,1212671
2,Paraguai,Gorduras e óleos animais ou vegetais; produtos da sua dissociação; gorduras alimentares elaboradas; ceras de origem animal ou vegetal,RODOVIARIA,1211265
11,Rússia,Alumínio e suas obras,MARITIMA,1208243
11,Estados Unidos,Extratos tanantes e tintoriais; taninos e seus derivados; pigmentos e outras matérias corantes; tintas e vernizes; mástiques; tintas de escrever,MARITIMA,1208176
11,Reino Unido,"Veículos automóveis, tratores, ciclos e outros veículos terrestres, suas partes e acessórios",MARITIMA,1207023
6,Itália,Produtos farmacêuticos,AEREA,1206269
1,Argentina,Gorduras e óleos animais ou vegetais; produtos da sua dissociação; gorduras alimentares elaboradas; ceras de origem animal ou vegetal,MARITIMA,1205741
11,Áustria,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",MARITIMA,1205301
9,Argentina,Borracha e suas obras,RODOVIARIA,1204283
7,Alemanha,"Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos",MARITIMA,1204266
3,Alemanha,"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios",AEREA,1202461
2,Índia,Algodão,MARITIMA,1202264
1,Peru,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",MARITIMA,1201796
2,China,"Tapetes e outros revestimentos para pisos (pavimentos), de matérias têxteis",MARITIMA,1200432
5,Egito,"Preparações de produtos hortícolas, de frutas ou de outras partes de plantas",MARITIMA,1198798
11,Estados Unidos,"Bebidas, líquidos alcoólicos e vinagres",MARITIMA,1198000
10,Hong Kong,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",MARITIMA,1197501
3,Coreia do Sul,Borracha e suas obras,MARITIMA,1197398
11,Taiwan (Formosa),"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",AEREA,1196495
1,França,Produtos químicos orgânicos,MARITIMA,1196240
5,Malásia,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",AEREA,1195518
11,Malásia,Alumínio e suas obras,MARITIMA,1195212
3,Itália,Produtos cerâmicos,MARITIMA,1193686
8,Itália,Produtos químicos orgânicos,AEREA,1192568
12,Paraguai,Cobre e suas obras,MARITIMA,1192244
6,Estados Unidos,Matérias albuminóides; produtos à base de amidos ou de féculas modificados; colas; enzimas,MARITIMA,1191636
5,Alemanha,"Ferro fundido, ferro e aço",MARITIMA,1190947
4,Estados Unidos,Adubos (fertilizantes),MARITIMA,1190532
7,África do Sul,"Ferro fundido, ferro e aço",MARITIMA,1190440
1,Japão,"Instrumentos e aparelhos de óptica, de fotografia, de cinematografia, de medida, de controle ou de precisão; instrumentos e aparelhos médico-cirúrgicos; suas partes e acessórios",AEREA,1189816
4,Hong Kong,Outros metais comuns; ceramais (cermets); obras dessas matérias,MARITIMA,1189207
7,Taiwan (Formosa),"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",AEREA,1188823
10,Japão,Produtos químicos orgânicos,MARITIMA,1188767
3,Itália,"Obras de ferro fundido, ferro ou aço",MARITIMA,1185782
5,China,Produtos químicos orgânicos,AEREA,1185537
12,Índia,Plásticos e suas obras,MARITIMA,1183727
12,Indonésia,"Ferro fundido, ferro e aço",MARITIMA,1183534
11,Itália,Extratos tanantes e tintoriais; taninos e seus derivados; pigmentos e outras matérias corantes; tintas e vernizes; mástiques; tintas de escrever,MARITIMA,1182823
8,Taiwan (Formosa),"Veículos automóveis, tratores, ciclos e outros veículos terrestres, suas partes e acessórios",MARITIMA,1181697
11,Coreia do Sul,Filamentos sintéticos ou artificiais,MARITIMA,1181352
8,Taiwan (Formosa),"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios",MARITIMA,1181245
2,México,"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios",MARITIMA,1180374
10,China,"Tapetes e outros revestimentos para pisos (pavimentos), de matérias têxteis",MARITIMA,1180086
5,Tailândia,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",MARITIMA,1180054
11,Estados Unidos,"Sabões, agentes orgânicos de superfície, preparações para lavagem, preparações lubrificantes, ceras artificiais, ceras preparadas, produtos de conservação e limpeza, velas e artigos semelhantes, massas ou pastas para modelar, ""ceras"" para dentistas e Comp",MARITIMA,1179226
9,China,"Chapéus e artefatos de uso semelhante, e suas partes",MARITIMA,1179085
5,Vietnã,Filamentos sintéticos ou artificiais,MARITIMA,1178538
8,Índia,"Fibras sintéticas ou artificiais, descontínuas",MARITIMA,1178047
2,Japão,"Instrumentos e aparelhos de óptica, de fotografia, de cinematografia, de medida, de controle ou de precisão; instrumentos e aparelhos médico-cirúrgicos; suas partes e acessórios",MARITIMA,1177753
8,França,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",MARITIMA,1177485
5,Argentina,"Carnes e miudezas, comestíveis",RODOVIARIA,1177356
7,China,"Papel e cartão; obras de pasta de celulose, de papel ou de cartão",MARITIMA,1176630
6,Países Baixos (Holanda),"Outros produtos de origem animal, não especificados nem compreendidos noutros Capítulos",MARITIMA,1175806
11,Suécia,Produtos químicos orgânicos,MARITIMA,1175748
5,Peru,"Vestuário e seus acessórios, de malha",MARITIMA,1175651
1,Coreia do Sul,Filamentos sintéticos ou artificiais,MARITIMA,1175141
3,Alemanha,Adubos (fertilizantes),MARITIMA,1174649
9,Venezuela,Alumínio e suas obras,MARITIMA,1174378
4,Alemanha,Produtos da indústria de moagem; malte; amidos e féculas; inulina; glúten de trigo,MARITIMA,1174130
6,Taiwan (Formosa),"Ferro fundido, ferro e aço",MARITIMA,1173962
11,Uruguai,"Carnes e miudezas, comestíveis",RODOVIARIA,1173719
4,Tailândia,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",AEREA,1171816
4,Índia,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",MARITIMA,1170260
9,Marrocos,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",MARITIMA,1170178
9,Malásia,Alumínio e suas obras,MARITIMA,1170033
5,Japão,"Veículos automóveis, tratores, ciclos e outros veículos terrestres, suas partes e acessórios",MARITIMA,1169133
12,China,Algodão,MARITIMA,1169002
4,Alemanha,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",AEREA,1167991
1,Argentina,Frutas; cascas de frutos cítricos e de melões,RODOVIARIA,1167860
9,Malásia,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",AEREA,1165921
9,Chile,Gorduras e óleos animais ou vegetais; produtos da sua dissociação; gorduras alimentares elaboradas; ceras de origem animal ou vegetal,RODOVIARIA,1165615
1,China,Matérias albuminóides; produtos à base de amidos ou de féculas modificados; colas; enzimas,MARITIMA,1165064
6,Taiwan (Formosa),"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",AEREA,1164913
4,Vietnã,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",MARITIMA,1162503
4,Paraguai,"Pastas (ouates), feltros e falsos tecidos; fios especiais; cordéis, cordas e cabos; artigos de cordoaria",RODOVIARIA,1162212
7,Estados Unidos,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",AEREA,1161183
1,Alemanha,Produtos da indústria de moagem; malte; amidos e féculas; inulina; glúten de trigo,MARITIMA,1160917
11,Paraguai,"Pastas (ouates), feltros e falsos tecidos; fios especiais; cordéis, cordas e cabos; artigos de cordoaria",RODOVIARIA,1160196
9,Japão,Produtos químicos orgânicos,MARITIMA,1159703
11,Índia,Plásticos e suas obras,MARITIMA,1159567
3,França,Preparações alimentícias diversas,MARITIMA,1159258
4,Estados Unidos,Óleos essenciais e resinóides; produtos de perfumaria ou de toucador preparados e preparações cosméticas,MARITIMA,1158608
6,Argentina,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos",RODOVIARIA,1158151
9,Chile,"Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos",MARITIMA,1157726
4,Argentina,"Pastas (ouates), feltros e falsos tecidos; fios especiais; cordéis, cordas e cabos; artigos de cordoaria",RODOVIARIA,1156115
9,China,Instrumentos musicais; suas partes e acessórios,MARITIMA,1155920
1,México,"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios",AEREA,1154614
8,China,Produtos cerâmicos,MARITIMA,1153680
5,Itália,"Bebidas, líquidos alcoólicos e vinagres",MARITIMA,1153580
1,China,Instrumentos musicais; suas partes e acessórios,MARITIMA,1153576
3,Paraguai,Gorduras e óleos animais ou vegetais; produtos da sua dissociação; gorduras alimentares elaboradas; ceras de origem animal ou vegetal,RODOVIARIA,1153446
9,Canadá,Produtos farmacêuticos,AEREA,1153154
3,Hong Kong,"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios",MARITIMA,1152613
11,Argentina,Produtos farmacêuticos,RODOVIARIA,1150424
12,Estados Unidos,Obras diversas,MARITIMA,1149761
6,Canadá,Produtos farmacêuticos,AEREA,1149750
12,Índia,Produtos cerâmicos,MARITIMA,1147499
2,Alemanha,Produtos diversos das indústrias químicas,AEREA,1146979
11,Áustria,"Ferro fundido, ferro e aço",MARITIMA,1146175
11,Peru,Zinco e suas obras,MARITIMA,1146095
8,China,Tecidos especiais; tecidos tufados; rendas; tapeçarias; passamanarias; bordados.,MARITIMA,1145780
5,Coreia do Sul,"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios",MARITIMA,1145552
12,Uruguai,Cereais,RODOVIARIA,1145000
5,Malásia,"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios",AEREA,1144454
7,Países Baixos (Holanda),"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",MARITIMA,1144109
11,Coreia do Sul,"Fibras sintéticas ou artificiais, descontínuas",MARITIMA,1143340
1,Israel,Plásticos e suas obras,MARITIMA,1142767
8,Argentina,Produtos da indústria de moagem; malte; amidos e féculas; inulina; glúten de trigo,RODOVIARIA,1141680
5,Estados Unidos,"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais",MARITIMA,1139948
2,Alemanha,"Outros produtos de origem animal, não especificados nem compreendidos noutros Capítulos",MARITIMA,1138923
5,Alemanha,"Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos",MARITIMA,1138660
8,Estados Unidos,Obras diversas,MARITIMA,1138234
12,Alemanha,"Obras de ferro fundido, ferro ou aço",MARITIMA,1138190
11,Peru,"Preparações de produtos hortícolas, de frutas ou de outras partes de plantas",MARITIMA,1137088
11,Índia,Produtos diversos das indústrias químicas,MARITIMA,1137001
12,Japão,"Obras de ferro fundido, ferro ou aço",MARITIMA,1136131
10,Guatemala,Borracha e suas obras,MARITIMA,1135542
1,Itália,"Obras de ferro fundido, ferro ou aço",MARITIMA,1135483
11,Hong Kong,"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios",MARITIMA,1135214
3,Espanha,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",MARITIMA,1134602
10,França,"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios",AEREA,1134442
12,Alemanha,Produtos da indústria de moagem; malte; amidos e féculas; inulina; glúten de trigo,MARITIMA,1133990
11,Reino Unido,Produtos diversos das indústrias químicas,MARITIMA,1133941
3,México,Embarcações e estruturas flutuantes,MARITIMA,1133638
10,China,Produtos cerâmicos,MARITIMA,1131908
11,Países Baixos (Holanda),"Preparações de produtos hortícolas, de frutas ou de outras partes de plantas",MARITIMA,1131655
2,Coreia do Sul,"Veículos automóveis, tratores, ciclos e outros veículos terrestres, suas partes e acessórios",MARITIMA,1129919
9,Taiwan (Formosa),"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",AEREA,1129554
8,Alemanha,"Ferro fundido, ferro e aço",MARITIMA,1129547
6,Alemanha,"Outros produtos de origem animal, não especificados nem compreendidos noutros Capítulos",MARITIMA,1129336
3,Irlanda,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",MARITIMA,1128465
1,Espanha,"Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos",MARITIMA,1127158
4,Paraguai,Plásticos e suas obras,RODOVIARIA,1126876
6,Itália,"Bebidas, líquidos alcoólicos e vinagres",MARITIMA,1126504
3,Taiwan (Formosa),"Veículos automóveis, tratores, ciclos e outros veículos terrestres, suas partes e acessórios",MARITIMA,1126164
2,Alemanha,"Ferro fundido, ferro e aço",MARITIMA,1125586
11,China,Produtos químicos orgânicos,AEREA,1124526
4,Reino Unido,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",MARITIMA,1122852
6,Uruguai,"Veículos automóveis, tratores, ciclos e outros veículos terrestres, suas partes e acessórios",RODOVIARIA,1121252
10,Índia,Plásticos e suas obras,MARITIMA,1120504
7,Reino Unido,"Veículos automóveis, tratores, ciclos e outros veículos terrestres, suas partes e acessórios",MARITIMA,1119924
4,China,Produtos cerâmicos,MARITIMA,1119124
8,Noruega,Níquel e suas obras,MARITIMA,1118448
6,Israel,Adubos (fertilizantes),MARITIMA,1118256
10,França,Produtos químicos orgânicos,MARITIMA,1118109
4,Suécia,"Ferro fundido, ferro e aço",MARITIMA,1118094
11,Paraguai,"Tapetes e outros revestimentos para pisos (pavimentos), de matérias têxteis",RODOVIARIA,1117230
8,Alemanha,"Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos",MARITIMA,1116771
1,Estados Unidos,"Ferro fundido, ferro e aço",MARITIMA,1116184
6,Omã,Alumínio e suas obras,MARITIMA,1115235
1,Peru,"Vestuário e seus acessórios, de malha",MARITIMA,1113534
10,Estados Unidos,Frutas; cascas de frutos cítricos e de melões,MARITIMA,1112701
8,Paraguai,"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios",RODOVIARIA,1112053
1,Omã,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",MARITIMA,1111088
6,Suíça,Produtos farmacêuticos,AEREA,1110767
11,Índia,Produtos cerâmicos,MARITIMA,1110385
7,Estados Unidos,Preparações alimentícias diversas,MARITIMA,1110336
3,Peru,Zinco e suas obras,MARITIMA,1110162
6,Malásia,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",AEREA,1109405
4,Vietnã,"Vestuário e seus acessórios, exceto de Malha",MARITIMA,1108953
9,Coreia do Sul,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",MARITIMA,1107879
8,Costa do Marfim,Borracha e suas obras,MARITIMA,1106935
8,México,"Veículos automóveis, tratores, ciclos e outros veículos terrestres, suas partes e acessórios",MARITIMA,1106877
8,China,Produtos farmacêuticos,MARITIMA,1106477
5,Bangladesh,"Vestuário e seus acessórios, exceto de Malha",MARITIMA,1104575
4,Canadá,Outros metais comuns; ceramais (cermets); obras dessas matérias,MARITIMA,1104524
9,Uruguai,Cereais,RODOVIARIA,1102600
4,Alemanha,"Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos",MARITIMA,1102302
1,Paraguai,Gorduras e óleos animais ou vegetais; produtos da sua dissociação; gorduras alimentares elaboradas; ceras de origem animal ou vegetal,RODOVIARIA,1101578
10,França,"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais",MARITIMA,1101274
4,Suécia,"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios",MARITIMA,1099806
12,Uruguai,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos",RODOVIARIA,1099629
11,Uruguai,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos",RODOVIARIA,1098970
10,Índia,Produtos diversos das indústrias químicas,MARITIMA,1098741
7,Colômbia,Matérias albuminóides; produtos à base de amidos ou de féculas modificados; colas; enzimas,MARITIMA,1098511
1,Equador,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",MARITIMA,1098140
12,Suécia,Produtos farmacêuticos,AEREA,1096391
8,Paraguai,Gorduras e óleos animais ou vegetais; produtos da sua dissociação; gorduras alimentares elaboradas; ceras de origem animal ou vegetal,RODOVIARIA,1094940
5,Coreia do Sul,"Ferro fundido, ferro e aço",MARITIMA,1094060
8,Índia,Borracha e suas obras,MARITIMA,1092132
3,China,"Madeira, carvão vegetal e obras de madeira",MARITIMA,1091075
3,Estados Unidos,"Veículos e material para vias férreas ou semelhantes, e suas partes; aparelhos mecânicos (incluindo os eletromecânicos) de sinalização para vias de comunicação",MARITIMA,1091036
12,Chile,"Minerios, escórias e cinzas",RODOVIARIA,1090854
7,Índia,"Obras de ferro fundido, ferro ou aço",MARITIMA,1088919
4,Índia,Produtos diversos das indústrias químicas,MARITIMA,1088258
7,Itália,"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios",MARITIMA,1088148
1,Paraguai,Plásticos e suas obras,RODOVIARIA,1088061
4,Malásia,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",AEREA,1087316
7,Israel,Plásticos e suas obras,MARITIMA,1086997
7,Chile,"Bebidas, líquidos alcoólicos e vinagres",MARITIMA,1086863
2,Israel,Adubos (fertilizantes),MARITIMA,1086564
1,Hong Kong,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",MARITIMA,1084990
1,Dinamarca,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",MARITIMA,1083585
11,Rússia,Níquel e suas obras,MARITIMA,1083181
3,Itália,Extratos tanantes e tintoriais; taninos e seus derivados; pigmentos e outras matérias corantes; tintas e vernizes; mástiques; tintas de escrever,MARITIMA,1082841
10,Chile,"Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos",MARITIMA,1082835
2,Singapura,Plásticos e suas obras,MARITIMA,1082589
9,México,Embarcações e estruturas flutuantes,MARITIMA,1081735
7,Taiwan (Formosa),"Obras de ferro fundido, ferro ou aço",MARITIMA,1081659
12,Paraguai,"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios",RODOVIARIA,1081191
8,Chile,"Instrumentos e aparelhos de óptica, de fotografia, de cinematografia, de medida, de controle ou de precisão; instrumentos e aparelhos médico-cirúrgicos; suas partes e acessórios",AEREA,1080000
10,Alemanha,Borracha e suas obras,MARITIMA,1079639
4,África do Sul,Alumínio e suas obras,MARITIMA,1079416
11,Países Baixos (Holanda),"Papel e cartão; obras de pasta de celulose, de papel ou de cartão",MARITIMA,1079304
4,Rússia,"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais",MARITIMA,1079027
9,França,"Bebidas, líquidos alcoólicos e vinagres",MARITIMA,1077354
2,Itália,Plásticos e suas obras,MARITIMA,1077219
9,Vietnã,Borracha e suas obras,MARITIMA,1076832
2,Argentina,Alumínio e suas obras,MARITIMA,1076453
2,China,Matérias albuminóides; produtos à base de amidos ou de féculas modificados; colas; enzimas,MARITIMA,1075382
10,Alemanha,Produtos químicos orgânicos,MARITIMA,1074483
2,Alemanha,Cacau e suas preparações,MARITIMA,1074039
8,Áustria,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",MARITIMA,1073354
10,Arábia Saudita,Alumínio e suas obras,MARITIMA,1072868
6,China,Instrumentos musicais; suas partes e acessórios,MARITIMA,1071650
11,Chile,"Minerios, escórias e cinzas",RODOVIARIA,1071055
11,Indonésia,Borracha e suas obras,MARITIMA,1069672
11,Hong Kong,Plásticos e suas obras,MARITIMA,1068558
5,Equador,Chumbo e suas obras,MARITIMA,1067278
7,Equador,Chumbo e suas obras,MARITIMA,1066643
3,México,Cobre e suas obras,MARITIMA,1066460
7,Argentina,Borracha e suas obras,RODOVIARIA,1066275
11,Tailândia,Plásticos e suas obras,MARITIMA,1066256
5,Índia,Produtos diversos das indústrias químicas,MARITIMA,1066248
11,Índia,"Sabões, agentes orgânicos de superfície, preparações para lavagem, preparações lubrificantes, ceras artificiais, ceras preparadas, produtos de conservação e limpeza, velas e artigos semelhantes, massas ou pastas para modelar, ""ceras"" para dentistas e Comp",MARITIMA,1065423
6,Tunísia,Adubos (fertilizantes),MARITIMA,1065268
2,Vietnã,"Brinquedos, jogos, artigos para divertimento ou para esporte; suas partes e acessórios",MARITIMA,1064953
3,China,Instrumentos musicais; suas partes e acessórios,MARITIMA,1064519
2,México,"Instrumentos e aparelhos de óptica, de fotografia, de cinematografia, de medida, de controle ou de precisão; instrumentos e aparelhos médico-cirúrgicos; suas partes e acessórios",AEREA,1064302
12,Estados Unidos,Cobre e suas obras,MARITIMA,1064259
4,Japão,"Veículos automóveis, tratores, ciclos e outros veículos terrestres, suas partes e acessórios",MARITIMA,1063115
9,Estados Unidos,Frutas; cascas de frutos cítricos e de melões,MARITIMA,1062473
9,Itália,"Instrumentos e aparelhos de óptica, de fotografia, de cinematografia, de medida, de controle ou de precisão; instrumentos e aparelhos médico-cirúrgicos; suas partes e acessórios",AEREA,1061803
9,Alemanha,Borracha e suas obras,MARITIMA,1061432
12,Itália,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",AEREA,1061427
5,Argentina,"Bebidas, líquidos alcoólicos e vinagres",RODOVIARIA,1060195
11,França,"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios",AEREA,1059444
12,Argentina,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos",MARITIMA,1059436
2,Chile,Gorduras e óleos animais ou vegetais; produtos da sua dissociação; gorduras alimentares elaboradas; ceras de origem animal ou vegetal,RODOVIARIA,1056669
2,Vietnã,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",MARITIMA,1056537
2,Suécia,"Papel e cartão; obras de pasta de celulose, de papel ou de cartão",MARITIMA,1056270
9,Índia,Produtos diversos das indústrias químicas,MARITIMA,1056019
12,Itália,"Obras de ferro fundido, ferro ou aço",MARITIMA,1055831
5,Austrália,Alumínio e suas obras,MARITIMA,1055074
1,China,"Madeira, carvão vegetal e obras de madeira",MARITIMA,1054634
7,"Tcheca, República","Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",MARITIMA,1054064
9,Itália,"Obras de ferro fundido, ferro ou aço",MARITIMA,1053077
9,Equador,Chumbo e suas obras,MARITIMA,1051983
6,México,Embarcações e estruturas flutuantes,MARITIMA,1051726
2,Paraguai,"Móveis; mobiliário médico-cirúrgico, colchões, almofadas e semelhantes; aparelhos de iluminação não especificados nem compreendidos em outros capítulos; anúncios, cartazes ou tabuletas e placas indicadoras luminosos, e artigos semelhantes; Construções Pré",RODOVIARIA,1050822
6,Taiwan (Formosa),"Obras de ferro fundido, ferro ou aço",MARITIMA,1050132
4,Estados Unidos,"Papel e cartão; obras de pasta de celulose, de papel ou de cartão",MARITIMA,1049335
1,Rússia,"Ferro fundido, ferro e aço",MARITIMA,1049115
7,Espanha,Óleos essenciais e resinóides; produtos de perfumaria ou de toucador preparados e preparações cosméticas,MARITIMA,1048947
2,França,Produtos químicos orgânicos,MARITIMA,1048761
8,Itália,Plásticos e suas obras,MARITIMA,1048145
3,China,"Tapetes e outros revestimentos para pisos (pavimentos), de matérias têxteis",MARITIMA,1047713
4,Sri Lanka,"Vestuário e seus acessórios, de malha",MARITIMA,1047696
12,Estados Unidos,"Sabões, agentes orgânicos de superfície, preparações para lavagem, preparações lubrificantes, ceras artificiais, ceras preparadas, produtos de conservação e limpeza, velas e artigos semelhantes, massas ou pastas para modelar, ""ceras"" para dentistas e Comp",MARITIMA,1046983
10,Colômbia,Cobre e suas obras,MARITIMA,1046938
11,Malásia,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",AEREA,1046804
10,Índia,"Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos",MARITIMA,1046732
3,Uruguai,"Carnes e miudezas, comestíveis",RODOVIARIA,1046703
3,Estados Unidos,"Bebidas, líquidos alcoólicos e vinagres",MARITIMA,1046512
6,Chile,Frutas; cascas de frutos cítricos e de melões,RODOVIARIA,1045421
11,Itália,"Obras de ferro fundido, ferro ou aço",MARITIMA,1045098
9,China,"Madeira, carvão vegetal e obras de madeira",MARITIMA,1044876
10,Suécia,Produtos químicos orgânicos,MARITIMA,1043712
9,Índia,"Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos",MARITIMA,1043046
9,Argentina,"Preparações à base de cereais, farinhas, amidos, féculas ou leite; produtos de pastelaria",RODOVIARIA,1042725
2,Índia,Plásticos e suas obras,MARITIMA,1042347
4,China,Matérias albuminóides; produtos à base de amidos ou de féculas modificados; colas; enzimas,MARITIMA,1042152
11,Áustria,Plásticos e suas obras,MARITIMA,1042144
9,Estados Unidos,"Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos",MARITIMA,1042057
