Mês,País Importado,Produto,Via,FOB (US$)
1,China,Plásticos e suas obras,MARITIMA,25128989
12,Malásia,Borracha e suas obras,MARITIMA,25117765
12,China,Produtos químicos orgânicos,MARITIMA,24991943
3,China,"Ferro fundido, ferro e aço",MARITIMA,24968944
5,China,"Ferro fundido, ferro e aço",MARITIMA,24855008
9,China,Plásticos e suas obras,MARITIMA,24631199
7,Malásia,Borracha e suas obras,MARITIMA,24586763
7,Chile,Cobre e suas obras,MARITIMA,24254489
6,Chile,Cobre e suas obras,MARITIMA,24201671
9,China,Filamentos sintéticos ou artificiais,MARITIMA,24181710
1,China,Produtos químicos orgânicos,MARITIMA,23905586
1,China,"Fibras sintéticas ou artificiais, descontínuas",MARITIMA,23492903
2,China,Plásticos e suas obras,MARITIMA,23485060
10,China,"Fibras sintéticas ou artificiais, descontínuas",MARITIMA,23252924
9,China,"Ferro fundido, ferro e aço",MARITIMA,23199379
10,Estados Unidos,Plásticos e suas obras,MARITIMA,22993513
11,China,Borracha e suas obras,MARITIMA,22725516
7,Irã,Adubos (fertilizantes),MARITIMA,22653117
10,China,"Ferro fundido, ferro e aço",MARITIMA,22504986
12,Omã,Adubos (fertilizantes),MARITIMA,22443053
2,China,"Vestuário e seus acessórios, exceto de Malha",MARITIMA,22402953
11,Irã,Adubos (fertilizantes),MARITIMA,22048342
2,China,"Fibras sintéticas ou artificiais, descontínuas",MARITIMA,21730890
12,Colômbia,Plásticos e suas obras,MARITIMA,21693161
4,China,"Outros artefatos têxteis confeccionados; sortidos; artefatos de matérias têxteis, calçados, chapéus e artefatos de uso semelhante, usados; trapos",AEREA,20988410
4,Estados Unidos,Plásticos e suas obras,MARITIMA,20840461
2,China,"Vestuário e seus acessórios, de malha",MARITIMA,20801450
12,China,Borracha e suas obras,MARITIMA,20794780
7,China,Produtos químicos orgânicos,MARITIMA,20663031
3,China,"Fibras sintéticas ou artificiais, descontínuas",MARITIMA,20544045
1,China,"Móveis; mobiliário médico-cirúrgico, colchões, almofadas e semelhantes; aparelhos de iluminação não especificados nem compreendidos em outros capítulos; anúncios, cartazes ou tabuletas e placas indicadoras luminosos, e artigos semelhantes; Construções Pré",MARITIMA,20229941
3,China,Plásticos e suas obras,MARITIMA,20012949
1,China,"Vestuário e seus acessórios, exceto de Malha",MARITIMA,20007024
9,China,Produtos químicos orgânicos,MARITIMA,19931056
10,China,"Móveis; mobiliário médico-cirúrgico, colchões, almofadas e semelhantes; aparelhos de iluminação não especificados nem compreendidos em outros capítulos; anúncios, cartazes ou tabuletas e placas indicadoras luminosos, e artigos semelhantes; Construções Pré",MARITIMA,19919114
3,China,Filamentos sintéticos ou artificiais,MARITIMA,19591979
12,Alemanha,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",MARITIMA,19549412
3,Estados Unidos,Plásticos e suas obras,MARITIMA,19549220
5,China,Plásticos e suas obras,MARITIMA,19506647
1,China,Borracha e suas obras,MARITIMA,19503879
1,Estados Unidos,Plásticos e suas obras,MARITIMA,19296995
2,China,Produtos químicos orgânicos,MARITIMA,19227659
9,Colômbia,Plásticos e suas obras,MARITIMA,19120777
5,Chile,Cobre e suas obras,MARITIMA,19086290
8,China,Plásticos e suas obras,MARITIMA,19074768
3,Argentina,Plásticos e suas obras,MARITIMA,19011726
9,Irã,Adubos (fertilizantes),MARITIMA,18955720
3,China,Produtos químicos orgânicos,MARITIMA,18942832
12,China,"Veículos automóveis, tratores, ciclos e outros veículos terrestres, suas partes e acessórios",MARITIMA,18888020
9,China,"Fibras sintéticas ou artificiais, descontínuas",MARITIMA,18862138
12,Chile,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",RODOVIARIA,18703969
11,Alemanha,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",MARITIMA,18681363
2,China,"Ferro fundido, ferro e aço",MARITIMA,18613096
9,Estados Unidos,Plásticos e suas obras,MARITIMA,18608656
