Ano,Mês,País Importado,Produto,UF Importadora,Via,FOB (US$)
12,China,"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios",Santa Catarina,MARITIMA,154714581
11,China,"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios",Santa Catarina,MARITIMA,150573193
1,China,"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios",Santa Catarina,MARITIMA,129799685
11,Chile,Cobre e suas obras,Santa Catarina,MARITIMA,117659673
2,China,"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios",Santa Catarina,MARITIMA,115480988
10,China,"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios",Santa Catarina,MARITIMA,114547478
11,China,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",Santa Catarina,MARITIMA,113440663
12,China,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",Santa Catarina,MARITIMA,112276815
12,Chile,Cobre e suas obras,Santa Catarina,MARITIMA,110780210
9,China,"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios",Santa Catarina,MARITIMA,110528310
3,China,"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios",Santa Catarina,MARITIMA,100025864
8,China,"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios",Santa Catarina,MARITIMA,93659735
10,Chile,Cobre e suas obras,Santa Catarina,MARITIMA,90122338
7,China,"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios",Santa Catarina,MARITIMA,88433893
10,China,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",Santa Catarina,MARITIMA,86757427
5,China,"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios",Santa Catarina,MARITIMA,86339515
1,China,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",Santa Catarina,MARITIMA,83466537
9,China,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",Santa Catarina,MARITIMA,81536335
9,Chile,Cobre e suas obras,Santa Catarina,MARITIMA,80998037
2,China,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",Santa Catarina,MARITIMA,78505569
2,Chile,Cobre e suas obras,Santa Catarina,MARITIMA,75752678
4,China,"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios",Santa Catarina,MARITIMA,74373444
1,Chile,Cobre e suas obras,Santa Catarina,MARITIMA,65374644
7,China,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",Santa Catarina,MARITIMA,64011804
3,Chile,Cobre e suas obras,Santa Catarina,MARITIMA,62694868
8,China,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",Santa Catarina,MARITIMA,62351558
3,China,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",Santa Catarina,MARITIMA,61330031
5,China,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",Santa Catarina,MARITIMA,59183712
6,China,"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios",Santa Catarina,MARITIMA,55164103
4,Chile,Cobre e suas obras,Santa Catarina,MARITIMA,49739269
8,Chile,Cobre e suas obras,Santa Catarina,MARITIMA,48774496
4,China,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",Santa Catarina,MARITIMA,43318828
